Station,Sediment_sample,Latitude_Degrees,Latitude_Minutes,Latitude_Seconds,North_South,Longitude_Degrees,Longitude_Minutes,Longitude_Seconds,East_West,Decimal_Longitude,Decimal_Latitude,Location,FAOarea,Water_body,Sea_Area,Place,Date,Gear,Depth_(fathoms),Bottom_water_temperature_(C)_,Bottom_temp_(F),Bottom_water_depth_D_(fathoms),Specific_Gravity_at_bottom,Surface_temp_(C),Surface_temp_(F),Specific_Gravity_at_surface
I,Blue mud,41,58,0,N,9,42,0,W,-9.7,41.97,"Off Cape Finisterre, Portugal",27,Northeast Atlantic Ocean,,Portugal,12/30/1872,Dredge,1125,,,,,,,
Ia,Hard ground,40,25,0,N,9,38,30,W,-9.64,40.42,Off Portugal coast,27,Northeast Atlantic Ocean,,Portugal,1/1/1873,,325,11.11,52,,,13.89,57,
Ib,Hard ground,40,24,0,N,9,45,0,W,-9.75,40.4,Off Portugal coast,27,Northeast Atlantic Ocean,,Portugal,1/1/1873,,730,9.44,49,,,13.89,57,
Ic,Hard ground,40,23,0,N,9,43,0,W,-9.72,40.38,Off Portugal coast,27,Northeast Atlantic Ocean,,Portugal,1/1/1873,Dredge,950,,,,,13.89,57,
Id,Green sand,39,55,0,N,10,5,0,W,-10.08,39.92,Off Portugal coast,27,Northeast Atlantic Ocean,,Portugal,1/2/1873,Dredge,1975,,,,,13.89,57,
II,Green mud,38,10,0,N,9,14,0,W,-9.23,38.17,"South-west Lisbon, Portugal",27,Northeast Atlantic Ocean,,Portugal,1/13/1873,Dredge,470,,,,,13.89,57,
II a,Green mud,38,5,0,N,9,39,0,W,-9.65,38.08,"South-west Lisbon, Portugal",27,Northeast Atlantic Ocean,,Portugal,1/13/1873,Dredge,1270,,,,,13.89,57,
II b,Green mud,38,31,0,N,9,31,0,W,-9.52,38.52,"South-west Lisbon, Portugal",27,Northeast Atlantic Ocean,,Portugal,1/14/1873,,84,,,,,13.89,57,
II c,Green mud,38,28,0,N,9,35,0,W,-9.58,38.47,"South-west Lisbon, Portugal",27,Northeast Atlantic Ocean,,Portugal,1/14/1873,,280,,,,,13.89,57,
II d,Green mud,38,26,0,N,9,38,0,W,-9.63,38.43,"South-west Lisbon, Portugal",27,Northeast Atlantic Ocean,,Portugal,1/14/1873,,560,11.11,52,,,14.17,57.5,
II e,Green mud,38,22,0,N,9,44,0,W,-9.73,38.37,"South-west Lisbon, Portugal",27,Northeast Atlantic Ocean,,Portugal,1/14/1873,,1290,,,,,13.89,57,
II f,Green mud,38,14,25,N,9,49,42,W,-9.83,38.24,"South-west Lisbon, Portugal",27,Northeast Atlantic Ocean,,Portugal,1/14/1873,,1475,3.06,37.5,,,14.17,57.5,
II g,Green mud,38,9,43,N,9,48,0,W,-9.8,38.16,"South-west Lisbon, Portugal",27,Northeast Atlantic Ocean,,Portugal,1/14/1873,,1380,3.33,38,,,14.17,57.5,
II h,Green mud,37,50,0,N,10,8,0,W,-10.13,37.83,"South-west Lisbon, Portugal",27,Northeast Atlantic Ocean,,Portugal,1/14/1873,,1800,2.78,37,,,13.89,57,
II j,Green mud,37,1,45,N,9,23,45,W,-9.4,37.03,"Off Cape Sao Vincente, Portugal",27,Northeast Atlantic Ocean,,Portugal,1/15/1873,,1000,4.17,39.5,,,15.28,59.5,
II k,Green sand,36,58,50,N,9,14,20,W,-9.24,36.98,"Off Cape Sao Vincente, Portugal",27,Northeast Atlantic Ocean,,Portugal,1/15/1873,Dredge,525,12.22,54,,,15.56,60,
III,Green sand,37,2,0,N,9,14,0,W,-9.23,37.03,"Off Cape Sao Vincente, Portugal",27,Northeast Atlantic Ocean,,Portugal,1/15/1873,Dredge,900,,,,,15.56,60,
IV,Green sand,36,25,0,N,8,12,0,W,-8.2,36.42,Between Cape Sao Vincente and Gibraltar Strait,27,Northeast Atlantic Ocean,,Portugal,1/16/1873,Dredge & Trawl,600,,,,,15.56,60,
V,Globigerina ooze,35,47,0,N,8,23,0,W,-8.38,35.78,"Ninety miles south-east of Cape Sao Vicente, Portugal",27,Northeast Atlantic Ocean,,Portugal,1/28/1873,Trawl,1090,3.61,38.5,,,16.11,61,
V a,,36,13,0,N,10,7,0,W,-10.12,36.22,"SW of Cape Sao Vincente, Portugal",27,Northeast Atlantic Ocean,,Portugal,1/29/1873,,2500,,,,,15,59,
VI,Globigerina ooze,36,23,0,N,11,18,0,W,-11.3,36.38,"Off SW of Cape Sao Vincente, Portugal",27,Northeast Atlantic Ocean,,Portugal,1/30/1873,Trawl,1525,2.22,36,,,14.44,58,
VII,Globigerina ooze,35,20,0,N,13,4,0,W,-13.07,35.33,SE Josephine Bank,34,Eastern Central Atlantic Ocean,,,1/31/1873,Trawl,2125,2.78,37,,,15.56,60,
VII a,Globigerina ooze,34,4,0,N,14,18,0,W,-14.3,34.07,Off NE Madeira Islands,34,Eastern Central Atlantic Ocean,,Madeira,2/1/1873,,2250,2.78,37,,,16.11,61,
VII b,Globigerina ooze,32,43,0,N,15,52,0,W,-15.87,32.72,East of Madeira Islands,34,Eastern Central Atlantic Ocean,,Madeira,2/1/1873,,2225,2.78,37,,,17.22,63,
VII c,Calcareous sand,32,21,0,N,16,24,0,W,-16.4,32.35,"South of Bugio Island, Madeira Island",34,Eastern Central Atlantic Ocean,,Madeira,2/1/1873,,670,8.22,46.8,,,17.22,63,
VII d,Volcanic mud,32,16,0,N,16,28,0,W,-16.47,32.27,"South of Bugio Island, Madeira Island",34,Eastern Central Atlantic Ocean,,Madeira,2/1/1873,,1150,,,,,17.78,64,
VII e,Volcanic mud,32,20,15,N,16,32,0,W,-16.53,32.34,"South of Bugio Island, Madeira Island",34,Eastern Central Atlantic Ocean,,Madeira,2/1/1873,Trawl,930,6.39,43.5,,,17.67,63.8,
VII f,Volcanic mud,32,27,0,N,16,40,30,W,-16.68,32.45,South of Madeira Island,34,Eastern Central Atlantic Ocean,,Madeira,2/1/1873,,1500,,,,,17.22,63,
VII g,Volcanic mud,32,32,45,N,16,48,0,W,-16.8,32.55,South of Madeira Island,34,Eastern Central Atlantic Ocean,,Madeira,2/3/1873,,1150,3.89,39,,,17.22,63,
VII h,Volcanic mud,32,35,0,N,16,51,0,W,-16.85,32.58,"South of Funchal, Madeira Island",34,Eastern Central Atlantic Ocean,,Madeira,2/3/1873,,790,7.22,45,,,17.11,62.8,
VII j,Volcanic mud,32,36,15,N,16,53,15,W,-16.89,32.6,"South of Funchal, Madeira Island",34,Eastern Central Atlantic Ocean,,Madeira,2/3/1873,,490,,,,,17.22,63,
VII k,Globigerina ooze,29,19,0,N,16,38,0,W,-16.63,29.32,"North of Tenerife, Canary Islands",34,Eastern Central Atlantic Ocean,,Spain,2/6/1873,,1975,2.33,36.2,,,16.94,62.5,
VII l,Volcanic mud,28,28,0,N,16,12,30,W,-16.21,28.47,"Tenerife, Canary Islands",34,Eastern Central Atlantic Ocean,,Spain,2/10/1873,,278,,,,,17.78,64,
VII m,Volcanic mud,28,28,0,N,16,10,0,W,-16.17,28.47,"Tenerife, Canary Islands",34,Eastern Central Atlantic Ocean,,Spain,2/10/1873,,630,7.22,45,,,17.78,64,
VII n,Volcanic mud,28,30,30,N,16,3,30,W,-16.06,28.51,"Tenerife, Canary Islands",34,Eastern Central Atlantic Ocean,,Spain,2/10/1873,,975,5,41,,,17.78,64,
VII o,Volcanic mud,28,33,0,N,16,4,0,W,-16.07,28.55,"Tenerife, Canary Islands",34,Eastern Central Atlantic Ocean,,Spain,2/10/1873,,560,7.5,45.5,,,17.78,64,
VII p,Volcanic sand,28,35,0,N,16,5,0,W,-16.08,28.58,"Tenerife, Canary Islands",34,Eastern Central Atlantic Ocean,,Spain,2/10/1873,Dredge,78,,,,,17.78,64,
VII q,Hard ground,28,38,0,N,16,5,0,W,-16.08,28.63,"Tenerife, Canary Islands",34,Eastern Central Atlantic Ocean,,Spain,2/10/1873,,179,,,,,17.78,64,
VII r,Volcanic mud,28,41,0,N,16,6,0,W,-16.1,28.68,"Tenerife, Canary Islands",34,Eastern Central Atlantic Ocean,,Spain,2/10/1873,,640,7.67,45.8,,,17.78,64,
VII s,Volcanic mud,28,45,0,N,16,7,0,W,-16.12,28.75,"Tenerife, Canary Islands",34,Eastern Central Atlantic Ocean,,Spain,2/10/1873,,1390,3.61,38.5,,,20,68,
VII t,Volcanic mud,28,42,0,N,17,8,0,W,-17.13,28.7,"N of Tenerife, Canary Islands",34,Eastern Central Atlantic Ocean,,Spain,2/11/1873,,1750,3.06,37.5,,,17.22,63,
VII u,Volcanic mud,28,20,0,N,17,34,0,W,-17.57,28.33,"N of Gomera Island, Canary Islands",34,Eastern Central Atlantic Ocean,,Spain,2/11/1873,,1340,3.61,38.5,,,18.33,65,
VII v,Volcanic mud,27,58,0,N,17,39,0,W,-17.65,27.97,"SW of Gomera Island, Canary Islands",34,Eastern Central Atlantic Ocean,,Spain,2/11/1873,,1620,3.06,37.5,,,18.33,65,
VIII,Volcanic mud,28,3,15,N,17,27,0,W,-17.45,28.05,"SW of Gomera Island, Canary Islands",34,Eastern Central Atlantic Ocean,,Spain,2/12/1873,Dredge,620,,,,,18.06,64.5,
1,Globigerina ooze,27,24,0,N,16,55,0,W,-16.92,27.4,S of Canary Islands,34,Eastern Central Atlantic Ocean,,Spain,2/15/1873,Dredge,1890,2.67,36.8,1890,1.02854,18.06,64.5,1.02671
2,Globigerina ooze,25,52,0,N,19,22,0,W,-19.37,25.87,Off Spanish Sahara,34,Eastern Central Atlantic Ocean,,,2/17/1873,Dredge,1945,2.67,36.8,1945,1.02801,19.44,67,1.02666
3,Pteropod ooze,25,45,0,N,20,14,0,W,-20.23,25.75,Off Spanish Sahara,34,Eastern Central Atlantic Ocean,,,2/18/1873,Dredge,1525,2.78,37,,,18.89,66,1.02654
4,,25,28,0,N,20,22,0,W,-20.37,25.47,Off Spanish Sahara,34,Eastern Central Atlantic Ocean,,,2/19/1873,Dredge,2220,-17.78,0,,,18.89,66,1.02637
5,Red clay,24,20,0,N,24,28,0,W,-24.47,24.33,Cape Verde Basin,34,Eastern Central Atlantic Ocean,,Cape Verde,2/21/1873,Dredge,2740,2.78,37,2740,1.02948,20,68,
6,Red clay,23,14,0,N,28,22,0,W,-28.37,23.23,Cape Verde Basin,34,Eastern Central Atlantic Ocean,,Cape Verde,2/23/1873,,2950,2.78,37,2950,1.02949,20.67,69.2,
7,Red clay,23,23,0,N,31,31,0,W,-31.52,23.38,Cape Verde Basin,34,Eastern Central Atlantic Ocean,,Cape Verde,2/24/1873,,2750,2.72,36.9,2750,1.02808,20,68,
8,Red clay,23,12,0,N,32,56,0,W,-32.93,23.2,Cape Verde Basin,34,Eastern Central Atlantic Ocean,,Cape Verde,2/25/1873,Dredge,2700,2.78,37,2700,1.02811,19.44,67,1.02677
9,Red clay,23,23,0,N,35,11,0,W,-35.18,23.38,Cape Verde Basin,34,Eastern Central Atlantic Ocean,,Cape Verde,2/26/1873,Dredge,3150,2.67,36.8,3150,1.02857,20.56,69,1.02656
10,Red clay,23,10,0,N,38,42,0,W,-38.7,23.17,Cape Verde Basin,34,Eastern Central Atlantic Ocean,,Cape Verde,2/28/1873,,2720,2.5,36.5,2720,1.02959,21.67,71,1.02617
11,Globigerina ooze,22,45,0,N,40,37,0,W,-40.62,22.75,Mid Atlantic Ridge,31,Western Central Atlantic Ocean,,,3/1/1873,Dredge,2575,2.5,36.5,2575,1.02821,22.33,72.2,1.02614
12,Globigerina ooze,21,57,0,N,43,29,0,W,-43.48,21.95,Mid Atlantic Ridge,31,Western Central Atlantic Ocean,,,3/3/1873,Dredge,2025,2.72,36.9,2025,1.02845,22.78,73,1.02575
13,Globigerina ooze,21,38,0,N,44,39,0,W,-44.65,21.63,Mid Atlantic Ridge,31,Western Central Atlantic Ocean,,,3/4/1873,Dredge,1900,2.67,36.8,1900,1.02899,22.22,72,1.02607
14,Globigerina ooze,21,1,0,N,46,29,0,W,-46.48,21.02,Mid Atlantic Ridge,31,Western Central Atlantic Ocean,,,3/5/1873,Trawl,1950,2.67,36.8,,,23.33,74,1.02553
15,Globigerina ooze,20,49,0,N,48,45,0,W,-48.75,20.82,Mid Atlantic Ridge,31,Western Central Atlantic Ocean,,,3/6/1873,,2325,2.33,36.2,2325,1.02818,22.5,72.5,1.02589
16,Globigerina ooze,20,39,0,N,50,33,0,W,-50.55,20.65,Mid Atlantic Ridge,31,Western Central Atlantic Ocean,,,3/7/1873,Dredge,2435,2.33,36.2,2435,1.02959,23.33,74,1.02568
17,Globigerina ooze,20,7,0,N,52,32,0,W,-52.53,20.12,North Western Atlantic Basin,31,Western Central Atlantic Ocean,,,3/8/1873,,2385,2.5,36.5,,,23.33,74,1.02564
18,Red clay,19,41,0,N,55,13,0,W,-55.22,19.68,North Western Atlantic Basin,31,Western Central Atlantic Ocean,,,3/10/1873,Dredge,2650,2.22,36,2650,1.02818,23.33,74,1.0253
19,Red clay,19,15,0,N,57,47,0,W,-57.78,19.25,North Western Atlantic Basin,31,Western Central Atlantic Ocean,,,3/11/1873,,3000,1.94,35.5,3000,1.02819,23.89,75,1.02509
20,Red clay,18,56,0,N,59,35,0,W,-59.58,18.93,North Western Atlantic Basin,31,Western Central Atlantic Ocean,,,3/12/1873,Dredge,2975,2.22,36,2975,1.0293,23.89,75,1.02508
21,Red clay,18,54,0,N,61,28,0,W,-61.47,18.9,Off Leeward Islands (Lesser Antilles),31,Western Central Atlantic Ocean,,Lesser Antilles,3/13/1873,,3025,1.94,35.5,3025,1.02899,24.44,76,1.02451
22,Pteropod ooze,18,40,0,N,62,56,0,W,-62.93,18.67,N of Anguilla Island (Lesser Antilles),31,Western Central Atlantic Ocean,,Lesser Antilles,3/14/1873,Trawl,1420,3.56,38.4,,,24.44,76,1.02464
23,Pteropod ooze,18,24,0,N,63,28,0,W,-63.47,18.4,S of Sombrero Island (Lesser Antilles),31,Western Central Atlantic Ocean,,Lesser Antilles,3/15/1873,Dredge,450,,,,,24.44,76,
23A,Pteropod ooze,18,26,0,N,63,31,15,W,-63.52,18.43,S of Sombrero Island (Lesser Antilles),31,Western Central Atlantic Ocean,,Lesser Antilles,3/15/1873,Dredge,460,,,,,24.44,76,
23B,Pteropod ooze,18,28,0,N,63,35,0,W,-63.58,18.47,S of Sombrero Island (Lesser Antilles),31,Western Central Atlantic Ocean,,Lesser Antilles,3/15/1873,Dredge,590,,,,,24.44,76,1.02459
24,Pteropod ooze,18,38,30,N,65,5,30,W,-65.09,18.64,N of Virgin Islands,31,Western Central Atlantic Ocean,,Virgin Islands,3/25/1873,Dredge,390,,,,,24.44,76,
24A,,18,43,30,N,65,5,0,W,-65.08,18.73,N of Virgin Islands,31,Western Central Atlantic Ocean,,Virgin Islands,3/25/1873,Dredge,625,,,,,24.44,76,1.0247
25,Red clay,19,41,0,N,65,7,0,W,-65.12,19.68,N of Virgin Islands,31,Western Central Atlantic Ocean,,Virgin Islands,3/26/1873,Dredge,3875,,,3875,,24.44,76,1.02458
26,Red clay,21,26,0,N,65,16,0,W,-65.27,21.43,Sargasso Sea,31,Western Central Atlantic Ocean,,,3/27/1873,,2800,,,2800,,24.44,76,1.0247
27,Red clay,22,49,0,N,65,19,0,W,-65.32,22.82,Sargasso Sea,31,Western Central Atlantic Ocean,,,3/28/1873,,2960,2.33,36.2,2960,1.02803,24.17,75.5,1.02484
28,Red clay,24,39,0,N,65,25,0,W,-65.42,24.65,Sargasso Sea,31,Western Central Atlantic Ocean,,,3/29/1873,Dredge,2850,2.39,36.3,2850,,23.89,75,1.02491
29,Red clay,27,49,0,N,64,59,0,W,-64.98,27.82,Sargasso Sea,31,Western Central Atlantic Ocean,,,3/31/1873,Dredge,2700,2.44,36.4,2700,1.02809,22.22,72,1.02571
30,Red clay,29,5,0,N,65,1,0,W,-65.02,29.08,Sargasso Sea,31,Western Central Atlantic Ocean,,,4/1/1873,,2600,2.5,36.5,2600,1.0298,22.22,72,1.02568
31,Globigerina ooze,31,24,0,N,65,0,0,W,-65,31.4,Off south of Bermuda Island,31,Western Central Atlantic Ocean,,British Overseas Territory,4/3/1873,,2475,2.5,36.5,2475,1.02857,20.83,69.5,
32,Globigerina ooze,31,49,0,N,64,55,0,W,-64.92,31.82,Off south of Bermuda Island,31,Western Central Atlantic Ocean,,British Overseas Territory,4/3/1873,,2250,2.61,36.7,2250,1.02805,20,68,
32A,Coral mud,32,1,0,N,64,51,0,W,-64.85,32.02,South of Bermuda Island,31,Western Central Atlantic Ocean,,British Overseas Territory,4/3/1873,,1820,,,,,20,68,1.02619
32B,Coral mud,32,10,0,N,64,52,0,W,-64.87,32.17,South of Bermuda Island,31,Western Central Atlantic Ocean,,British Overseas Territory,4/3/1873,,950,,,,,20,68,
32C,Coral mud,32,17,30,N,64,39,5,W,-64.65,32.29,Bermuda Island,31,Western Central Atlantic Ocean,,British Overseas Territory,4/4/1873,,780,,,,,19.44,67,
32D,Coral mud,32,19,0,N,64,40,0,W,-64.67,32.32,Bermuda Island,31,Western Central Atlantic Ocean,,British Overseas Territory,4/4/1873,,380,,,,,19.44,67,
32E,Coral mud,32,19,30,N,64,40,35,W,-64.68,32.33,Bermuda Island,31,Western Central Atlantic Ocean,,British Overseas Territory,4/4/1873,Dredge,120,,,,,19.72,67.5,
32F,Hard ground,32,20,40,N,64,38,15,W,-64.64,32.34,Bermuda Island,31,Western Central Atlantic Ocean,,British Overseas Territory,4/4/1873,,125,,,,,19.72,67.5,
32G,Hard ground,32,21,25,N,64,37,15,W,-64.62,32.36,Bermuda Island,31,Western Central Atlantic Ocean,,British Overseas Territory,4/4/1873,Dredge,265,,,,,20,68,
33,Coral mud,32,21,30,N,64,35,55,W,-64.6,32.36,Bermuda Island,31,Western Central Atlantic Ocean,,British Overseas Territory,4/4/1873,Dredge,435,,,,,20,68,
33A,Coral sand,32,31,10,N,64,42,55,W,-64.72,32.52,Bermuda Island,31,Western Central Atlantic Ocean,,British Overseas Territory,4/21/1873,,175,,,,,19.56,67.2,
33B,Coral sand,32,32,30,N,64,46,0,W,-64.77,32.54,Bermuda Island,31,Western Central Atlantic Ocean,,British Overseas Territory,4/21/1873,,640,,,,,19.56,67.2,
34,Coral sand,32,33,55,N,64,52,18,W,-64.87,32.57,Bermuda Island,31,Western Central Atlantic Ocean,,British Overseas Territory,4/21/1873,,1370,,,,,19.56,67.2,
35A,Globigerina ooze,32,39,0,N,65,6,0,W,-65.1,32.65,Bermuda Island,31,Western Central Atlantic Ocean,,British Overseas Territory,4/22/1873,,2450,2.5,36.5,,,19.89,67.8,
35B,Globigerina ooze,32,26,0,N,65,9,0,W,-65.15,32.43,Bermuda Island,31,Western Central Atlantic Ocean,,British Overseas Territory,4/22/1873,,2100,2.5,36.5,,,20,68,1.02604
35C,Globigerina ooze,32,15,0,N,65,8,0,W,-65.13,32.25,Bermuda Island,31,Western Central Atlantic Ocean,,British Overseas Territory,4/22/1873,,1950,,,,,20,68,
36,Coral mud,32,7,25,N,65,4,0,W,-65.07,32.12,Bermuda Island,31,Western Central Atlantic Ocean,,British Overseas Territory,4/23/1873,Dredge,30,,,,,19.72,67.5,
37,Globigerina ooze,32,18,0,N,65,38,0,W,-65.63,32.3,West of Bermuda Island,31,Western Central Atlantic Ocean,,British Overseas Territory,4/24/1873,Dredge,2650,2.5,36.5,,,20,68,
38,Globigerina ooze,33,3,0,N,66,32,0,W,-66.53,33.05,Off NW of Bermuda Island,31,Western Central Atlantic Ocean,,British Overseas Territory,4/25/1873,,2600,2.5,36.5,,,21.11,70,1.02583
39,Red clay,34,3,0,N,67,32,0,W,-67.53,34.05,Off NW of Bermuda Island,31,Western Central Atlantic Ocean,,British Overseas Territory,4/27/1873,,2850,2.5,36.5,,,18.33,65,1.02636
40,Globigerina ooze,34,51,0,N,68,30,0,W,-68.5,34.85,Off NW of Bermuda Island,31,Western Central Atlantic Ocean,,British Overseas Territory,4/28/1873,Dredge,2675,,,,,20.83,69.5,1.02566
41,Blue mud,36,5,0,N,69,54,0,W,-69.9,36.08,Off East coast of United States,21,Northwest Atlantic Ocean,,USA,4/29/1873,,,,,,,18.33,65,1.02637
42,Blue mud,35,58,0,N,70,35,0,W,-70.58,35.97,Off East coast of United States,21,Northwest Atlantic Ocean,,USA,4/30/1873,,2425,2.67,36.8,2425,1.02872,18.33,65,1.02629
43,,36,23,0,N,71,46,0,W,-71.77,36.38,Off East coast of United States,21,Northwest Atlantic Ocean,,USA,5/1/1873,,2600,2.67,36.8,,,23.89,75,1.02455
44,Blue mud,37,25,0,N,71,40,0,W,-71.67,37.42,Off East coast of United States,21,Northwest Atlantic Ocean,,USA,5/2/1873,Dredge,1700,2.33,36.2,,,13.61,56.5,1.02583
45,Blue mud,38,34,0,N,72,10,0,W,-72.17,38.57,Off East coast of United States,21,Northwest Atlantic Ocean,,USA,5/3/1873,Dredge,1240,2.89,37.2,,,9.72,49.5,1.02618
46,Blue mud,40,17,0,N,66,48,0,W,-66.8,40.28,Off East coast of United States,21,Northwest Atlantic Ocean,,USA,5/6/1873,Dredge,1350,2.89,37.2,,,4.44,40,1.02586
47,Blue mud,41,14,0,N,65,45,0,W,-65.75,41.23,Off East coast of United States,21,Northwest Atlantic Ocean,,USA,5/7/1873,Dredge,1340,,,,,5.56,42,1.0259
48,Rock,43,4,0,N,64,5,0,W,-64.08,43.07,"South of Halifax, Nova Scotia",21,Northwest Atlantic Ocean,,Canada,5/8/1873,Dredge,51,,,,,8.89,48,
49,Gravel and stones,43,3,0,N,63,39,0,W,-63.65,43.05,"South of Halifax, Nova Scotia",21,Northwest Atlantic Ocean,,Canada,5/20/1873,Dredge,85,1.67,35,85,1.02606,4.72,40.5,1.02534
50,Blue mud,42,8,0,N,63,39,0,W,-63.65,42.13,"South of Halifax, Nova Scotia",21,Northwest Atlantic Ocean,,Canada,5/21/1873,Dredge,1250,3.33,38,1250,1.0274,7.22,45,1.02602
51,Blue mud,41,19,0,N,63,12,0,W,-63.2,41.32,"South of Halifax, Nova Scotia",21,Northwest Atlantic Ocean,,Canada,5/22/1873,,2020,2.22,36,2020,1.02798,15,59,1.02636
52,Blue mud,39,44,0,N,63,22,0,W,-63.37,39.73,North Western Atlantic Basin,21,Northwest Atlantic Ocean,,Canada,5/23/1873,,2800,2.33,36.2,2800,1.02909,19.56,67.2,1.02619
52A,,38,16,0,N,63,17,0,W,-63.28,28.27,North Western Atlantic Basin,21,Northwest Atlantic Ocean,,Canada,5/24/1873,,,,,,,22.78,73,
53,Blue mud,36,30,0,N,63,40,0,W,-63.67,36.5,North Western Atlantic Basin,21,Northwest Atlantic Ocean,,Canada,5/26/1873,,2650,2.39,36.3,2650,1.02907,22.78,73,1.0252
54,Blue mud,34,51,0,N,63,59,0,W,-63.98,34.85,North of Bermuda Island,31,Western Central Atlantic Ocean,,British Overseas Territory,5/27/1873,Trawl,2650,,,,,21.39,70.5,1.02537
55,Globigerina ooze,33,20,0,N,64,37,0,W,-64.62,33.33,North of Bermuda Island,31,Western Central Atlantic Ocean,,British Overseas Territory,5/28/1873,,2500,,,,,21.39,70.5,1.02562
55A,Globigerina ooze,32,46,0,N,64,39,0,W,-64.65,32.77,North of Bermuda Island,31,Western Central Atlantic Ocean,,British Overseas Territory,5/28/1873,,1775,2.33,36.2,,,21.39,70.5,
55B,Coral mud,32,7,35,N,64,53,45,W,-64.9,32.13,Bermuda Island,31,Western Central Atlantic Ocean,,British Overseas Territory,5/29/1873,Dredge,1325,,,,,22.22,72,
56,Coral mud,32,8,45,N,64,59,35,W,-64.99,32.15,Bermuda Island,31,Western Central Atlantic Ocean,,British Overseas Territory,5/29/1873,Dredge,1075,3.44,38.2,,,22.5,72.5,
56A,,32,10,45,N,64,58,20,W,-64.97,32.18,Bermuda Island,31,Western Central Atlantic Ocean,,British Overseas Territory,5/29/1873,Dredge,506,,,,,22.5,72.5,
57,,32,11,7,N,65,3,20,W,-65.06,32.19,Bermuda Island,31,Western Central Atlantic Ocean,,British Overseas Territory,5/30/1873,,690,,,,,22.5,72.5,
57A,Coral mud,32,9,30,N,65,7,35,W,-65.13,32.16,Bermuda Island,31,Western Central Atlantic Ocean,,British Overseas Territory,5/30/1873,Dredge,1250,,,,,22.78,73,
57B,,32,9,45,N,65,10,50,W,-65.18,32.16,Bermuda Island,31,Western Central Atlantic Ocean,,British Overseas Territory,5/30/1873,Trawl,1575,,,,,22.78,73,
58,Coral mud,32,37,0,N,64,21,0,W,-64.35,32.62,North of Bermuda Island,31,Western Central Atlantic Ocean,,British Overseas Territory,6/13/1873,,1500,2.89,37.2,,,23.06,73.5,
59,Globigerina ooze,32,54,0,N,63,22,0,W,-63.37,32.9,Off North-east of Bermuda Island,31,Western Central Atlantic Ocean,,British Overseas Territory,6/14/1873,,2360,2.39,36.3,2360,1.02857,23.33,74,1.02513
60,Globigerina ooze,34,28,0,N,58,56,0,W,-58.93,34.47,North Western Atlantic Basin,31,Western Central Atlantic Ocean,,,6/16/1873,Trawl,2575,2.33,36.2,2575,1.02912,21.94,71.5,1.02546
61,Red clay,34,54,0,N,56,38,0,W,-56.63,34.9,North Western Atlantic Basin,31,Western Central Atlantic Ocean,,,6/17/1873,Trawl,2850,2.33,36.2,,,21.67,71,1.02551
62,Red clay,35,7,0,N,52,32,0,W,-52.53,35.12,North Western Atlantic Basin,21,Northwest Atlantic Ocean,,,6/18/1873,,2875,2.44,36.4,2875,1.02916,21.11,70,1.02577
63,Globigerina ooze,35,29,0,N,50,53,0,W,-50.88,35.48,North Western Atlantic Basin,21,Northwest Atlantic Ocean,,,6/19/1873,Trawl,2750,,,2750,,21.67,71,1.02563
