Station,Sediment_sample,Latitude_Degrees,Latitude_Minutes,Latitude_Seconds,North_South,Longitude_Degrees,Longitude_Minutes,Longitude_Seconds,East_West,Decimal_Longitude,Decimal_Latitude,Location,FAOarea,Water_body,Sea_Area,Place,Date,Gear,Depth_(fathoms),Bottom_water_temperature_(C)_,Bottom_temp_(F),Bottom_water_depth_D_(fathoms),Specific_Gravity_at_bottom,Surface_temp_(C),Surface_temp_(F),Specific_Gravity_at_surface
64,Globigerina ooze,35,35,0,N,50,27,0,W,-50.45,35.58,North Western Atlantic Basin,21,Northwest Atlantic Ocean,,,6/20/1873,Dredge,,,,,,23.89,75,
65,Red clay,36,33,0,N,47,58,0,W,-47.97,36.55,North Western Atlantic Basin,21,Northwest Atlantic Ocean,,,6/21/1873,,2700,2.33,36.2,2700,1.028,22.5,72.5,
66,Globigerina ooze,37,24,0,N,44,14,0,W,-44.23,37.4,Mid Atlantic Ridge,21,Northwest Atlantic Ocean,,,6/22/1873,,2750,2.5,36.5,2750,1.02821,21.11,70,1.02571
67,Globigerina ooze,37,54,0,N,41,44,0,W,-41.73,37.9,Mid Atlantic Ridge,21,Northwest Atlantic Ocean,,,6/23/1873,,2700,2.39,36.3,2700,1.02815,21.11,70,
68,Globigerina ooze,38,3,0,N,39,19,0,W,-39.32,38.05,Mid Atlantic Ridge,27,Northeast Atlantic Ocean,,,6/24/1873,Trawl,2175,2.33,36.2,2175,1.02814,21.11,70,1.02548
69,Globigerina ooze,38,23,0,N,37,21,0,W,-37.35,38.38,Mid Atlantic Ridge,27,Northeast Atlantic Ocean,,,6/25/1873,Trawl,2200,2.33,36.2,,,21.67,71,1.02555
70,Globigerina ooze,38,25,0,N,35,50,0,W,-35.83,38.42,Mid Atlantic Ridge,27,Northeast Atlantic Ocean,,,6/26/1873,Trawl,1675,,,,,21.11,70,1.02568
71,Globigerina ooze,38,18,0,N,34,48,0,W,-34.8,38.3,Mid Atlantic Ridge,27,Northeast Atlantic Ocean,,,6/27/1873,Trawl,1675,2.67,36.8,1675,1.02872,21.67,71,1.02537
72,Pteropod ooze,38,34,0,N,32,47,0,W,-32.78,38.57,Mid Atlantic Ridge,27,Northeast Atlantic Ocean,,,6/28/1873,,1240,3.22,37.8,,,21.67,71,1.02561
73,Pteropod ooze,38,30,0,N,31,14,0,W,-31.23,38.5,"South of Flores Island, Azores Islands",27,Northeast Atlantic Ocean,,Portugal,6/30/1873,Dredge,1000,4.11,39.4,1000,1.02883,20.56,69,
74,Pteropod ooze,38,22,0,N,29,37,0,W,-29.62,38.37,Azores Islands,27,Northeast Atlantic Ocean,,Portugal,7/1/1873,,1350,,,,,21,69.8,
75,Volcanic mud,38,38,0,N,28,28,30,W,-28.48,38.63,Azores Islands,27,Northeast Atlantic Ocean,,Portugal,7/2/1873,Dredge,450,,,,,21.11,70,
76,Pteropod ooze,38,11,0,N,27,9,0,W,-27.15,38.18,Azores Islands,27,Northeast Atlantic Ocean,,Portugal,7/3/1873,Dredge,900,4.44,40,900,1.02876,21.11,70,1.02559
77,Hard ground,37,52,0,N,26,26,0,W,-26.43,37.87,Azores Islands,27,Northeast Atlantic Ocean,,Portugal,7/4/1873,,750,,,750,,20.67,69.2,
78,Volcanic mud,37,26,0,N,25,13,0,W,-25.22,37.43,Azores Islands,27,Northeast Atlantic Ocean,,Portugal,7/10/1873,Dredge,1000,,,,,21.67,71,
79,Globigerina ooze,36,21,0,N,23,31,0,W,-23.52,36.35,SE of Azores Islands,27,Northeast Atlantic Ocean,,Portugal,7/11/1873,Dredge,2025,2.17,35.9,,,21.94,71.5,
80,Globigerina ooze,35,3,0,N,21,25,0,W,-21.42,35.05,Between Azores Islands and Madeira Island,34,Eastern Central Atlantic Ocean,,Portugal,7/12/1873,,2660,2.56,36.6,2660,1.02801,21.67,71,1.02549
81,Globigerina ooze,34,11,0,N,19,52,0,W,-19.87,34.18,Between Azores Islands and Madeira Island,34,Eastern Central Atlantic Ocean,,Portugal,7/13/1873,,2675,2.78,37,,,21.67,71,1.02556
82,Globigerina ooze,33,46,0,N,19,17,0,W,-19.28,33.77,Off north-west of Madeira Island,34,Eastern Central Atlantic Ocean,,Portugal,7/14/1873,,2400,2.56,36.6,2400,1.02901,21.5,70.7,1.02565
83,Globigerina ooze,33,13,0,N,18,13,0,W,-18.22,33.22,Off north-west of Madeira Island,34,Eastern Central Atlantic Ocean,,Portugal,7/15/1873,Dredge,1650,2.78,37,1650,1.02824,21.67,71,1.02585
84,,30,38,0,N,18,5,0,W,-18.08,30.63,Between Madeira Island and Canary Islands,34,Eastern Central Atlantic Ocean,,,7/18/1873,,,,,,,21.67,71,1.02574
85,Volcanic mud,28,42,0,N,18,6,0,W,-18.1,28.7,"La Palma Island, Canary Islands",34,Eastern Central Atlantic Ocean,,Spanish territory,7/19/1873,Dredge,1125,,,,,20.67,69.2,1.02608
86,Globigerina ooze,25,46,0,N,20,34,0,W,-20.57,25.77,Off Spanish Sahara,34,Eastern Central Atlantic Ocean,,,7/21/1873,,2300,2.56,36.6,2300,1.02832,21.67,71,
87,,25,49,0,N,20,12,0,W,-20.2,25.82,Off Spanish Sahara,34,Eastern Central Atlantic Ocean,,,7/21/1873,Dredge,1675,,,,,22.22,72,1.02582
88,Globigerina ooze,23,58,0,N,21,18,0,W,-21.3,23.97,Off Spanish Sahara,34,Eastern Central Atlantic Ocean,,,7/22/1873,,2300,2.44,36.4,2300,1.02819,22.22,72,1.02592
89,Globigerina ooze,22,18,0,N,22,2,0,W,-22.03,22.3,Off Spanish Sahara,34,Eastern Central Atlantic Ocean,,,7/23/1873,Trawl,2400,2.56,36.6,,,23.06,73.5,1.02532
90,Globigerina ooze,20,58,0,N,22,57,0,W,-22.95,20.97,Off Mauritania,34,Eastern Central Atlantic Ocean,,Mauritania,7/24/1873,,2400,2.5,36.5,2400,1.02851,23.33,74,1.0249
91,Globigerina ooze,19,4,0,N,24,6,0,W,-24.1,19.07,N of Cape Verde Islands,34,Eastern Central Atlantic Ocean,,Cape Verde,7/25/1873,,2075,2.5,36.5,2075,1.02902,23.33,74,
92,Globigerina ooze,17,54,0,N,24,41,0,W,-24.68,17.9,N of Cape Verde Islands,34,Eastern Central Atlantic Ocean,,Cape Verde,7/26/1873,Dredge,1975,,,,,23.72,74.7,1.02493
93,Volcanic mud,17,12,45,N,24,55,45,W,-24.93,17.21,Cape Verde Islands,34,Eastern Central Atlantic Ocean,,Cape Verde,7/27/1873,,1070,,,,,23.89,75,
93A,Volcanic mud,17,3,30,N,24,53,0,W,-24.88,17.06,Cape Verde Islands,34,Eastern Central Atlantic Ocean,,Cape Verde,7/27/1873,,1000,,,,,23.89,75,
93B,Volcanic mud,16,59,15,N,24,57,45,W,-24.96,16.99,Cape Verde Islands,34,Eastern Central Atlantic Ocean,,Cape Verde,7/27/1873,,465,6.39,43.5,,,23.89,75,
93C,Coralline sand,16,57,15,N,25,1,0,W,-25.02,16.95,Cape Verde Islands,34,Eastern Central Atlantic Ocean,,Cape Verde,7/27/1873,,52,,,,,24.44,76,
93D,Coralline mud,16,55,45,N,23,3,45,W,-23.06,16.93,Cape Verde Islands,34,Eastern Central Atlantic Ocean,,Cape Verde,8/5/1873,,103,,,,,25.56,78,
93E,Coralline mud,16,52,15,N,25,6,45,W,-25.11,16.87,Cape Verde Islands,34,Eastern Central Atlantic Ocean,,Cape Verde,8/5/1873,,85,,,,,25.56,78,
93F,Volcanic mud,16,50,0,N,25,8,0,W,-25.13,16.83,Cape Verde Islands,34,Eastern Central Atlantic Ocean,,Cape Verde,8/5/1873,,260,,,,,25.56,78,
93G,Volcanic mud,16,46,0,N,25,10,0,W,-25.17,16.77,Cape Verde Islands,34,Eastern Central Atlantic Ocean,,Cape Verde,8/5/1873,,675,,,,,25.56,78,
94,Volcanic mud,16,42,0,N,25,12,0,W,-25.2,16.7,Cape Verde Islands,34,Eastern Central Atlantic Ocean,,Cape Verde,8/5/1873,,1150,,,,,25.56,78,
95,Globigerina ooze,13,36,0,N,22,49,0,W,-22.82,13.6,Cape Verde Basin,34,Eastern Central Atlantic Ocean,,Cape Verde,8/10/1873,,2300,2.5,36.5,2300,1.02805,26.11,79,
96,,12,15,0,N,22,28,0,W,-22.47,12.25,Cape Verde Basin,34,Eastern Central Atlantic Ocean,,Cape Verde,8/11/1873,,,,,,,25.94,78.7,
97,Globigerina ooze,10,25,0,N,20,30,0,W,-20.5,10.42,Cape Verde Basin,34,Eastern Central Atlantic Ocean,,Cape Verde,8/13/1873,,2575,2.56,36.6,2575,1.02804,25.56,78,1.02346
98,Globigerina ooze,9,21,0,N,18,28,0,W,-18.47,9.35,Off Guinea,34,Eastern Central Atlantic Ocean,,Guinea,8/14/1873,Dredge,1750,2.61,36.7,1750,1.02805,25.67,78.2,1.02339
99,,7,53,0,N,17,26,0,W,-17.43,7.88,Off Sierra Leone,34,Eastern Central Atlantic Ocean,,Sierra Leone,8/15/1873,,,,,,,25.56,78,
100,,7,1,0,N,15,55,0,W,-15.92,7.02,Off Sierra Leone,34,Eastern Central Atlantic Ocean,,Sierra Leone,8/16/1873,,2425,,,,,26.11,79,
101,Blue mud,5,48,0,N,14,20,0,W,-14.33,5.8,Sierra Leone Basin,34,Eastern Central Atlantic Ocean,,Sierra Leone,8/19/1873,Trawl,2500,2.44,36.4,,,26.22,79.2,1.02348
102,Globigerina ooze,3,8,0,N,14,29,0,W,-14.48,3.13,Sierra Leone Basin,34,Eastern Central Atlantic Ocean,,Sierra Leone,8/21/1873,,2450,2.44,36.4,2450,1.02796,25.56,78,1.02324
103,Globigerina ooze,2,52,0,N,17,0,0,W,-17,2.87,Sierra Leone Basin,34,Eastern Central Atlantic Ocean,,Sierra Leone,8/22/1873,,2475,2.22,36,,,25,77,
104,Globigerina ooze,2,25,0,N,20,1,0,W,-20.02,2.42,Sierra Leone Basin,34,Eastern Central Atlantic Ocean,,Sierra Leone,8/23/1873,Trawl,2500,2.56,36.6,2500,1.02801,25.56,78,1.02339
105,Globigerina ooze,2,6,0,N,22,53,0,W,-22.88,2.1,Sierra Leone Basin,34,Eastern Central Atlantic Ocean,,Sierra Leone,8/24/1873,,2275,2.22,36,,,25.56,78,
106,Globigerina ooze,1,47,0,N,24,26,0,W,-24.43,1.78,Mid Atlantic Ridge,34,Eastern Central Atlantic Ocean,,,8/25/1873,Trawl,1850,2.56,36.6,,,26,78.8,1.02332
107,Globigerina ooze,1,22,0,N,26,36,0,W,-26.6,1.37,Mid Atlantic Ridge,34,Eastern Central Atlantic Ocean,,,8/26/1873,Trawl,1500,3.28,37.9,,,26,78.8,1.02335
108,Globigerina ooze,1,10,0,N,28,23,0,W,-28.38,1.17,Mid Atlantic Ridge,34,Eastern Central Atlantic Ocean,,,8/27/1873,,1900,2.67,36.8,,,25.56,78,
109,Hard ground,0,55,38,N,29,22,35,W,-29.38,0.93,St. Paul Rocks,34,Eastern Central Atlantic Ocean,,Brazil,8/28/1873,Dredge,104,,,,,25.39,77.7,
109A,Hard ground,0,54,43,N,29,23,32,W,-29.39,0.91,St. Paul Rocks,34,Eastern Central Atlantic Ocean,,Brazil,8/29/1873,,475,,,,,25.56,78,
109B,Hard ground,0,54,55,N,29,22,17,W,-29.37,0.92,St. Paul Rocks,34,Eastern Central Atlantic Ocean,,Brazil,8/29/1873,,510,,,,,24.72,76.5,
109C,Globigerina ooze,0,56,23,N,29,22,15,W,-29.37,0.94,St. Paul Rocks,34,Eastern Central Atlantic Ocean,,Brazil,8/29/1873,,780,,,,,24.72,76.5,
109D,Globigerina ooze,0,56,4,N,29,25,2,W,-29.42,0.93,St. Paul Rocks,34,Eastern Central Atlantic Ocean,,Brazil,8/29/1873,,1425,,,,,25,77,
110,Globigerina ooze,0,9,0,N,30,18,0,W,-30.3,0.15,South of St. Paul Rocks,41,Southwest Atlantic Ocean,,Brazil,8/30/1873,,2275,1.56,34.8,2275,1.02809,25.28,77.5,1.02408
111,Globigerina ooze,1,45,0,S,30,58,0,W,-30.97,-1.75,Between St. Paul Rocks and Fernando Noronha Island,41,Southwest Atlantic Ocean,,Brazil,8/31/1873,,2475,0.94,33.7,,,25.56,78,
112,Globigerina ooze,3,33,0,S,32,16,0,W,-32.27,-3.55,North of Fernando Noronha Island,41,Southwest Atlantic Ocean,,Brazil,9/1/1873,,2200,1.11,34,2200,1.02817,25.56,78,
113,Globigerina ooze,3,40,45,S,32,22,0,W,-32.37,-3.68,North of Fernando Noronha Island,41,Southwest Atlantic Ocean,,Brazil,9/1/1873,,1010,3.06,37.5,,,25.56,78,
113A,Hard ground,3,47,0,S,32,24,30,W,-32.41,-3.78,Fernando Noronha Island,41,Southwest Atlantic Ocean,,Brazil,9/1/1873,,25,,,,,25.56,78,
113B,Hard ground,3,50,30,S,32,30,0,W,-32.5,-3.84,Fernando Noronha Island,41,Southwest Atlantic Ocean,,Brazil,9/3/1873,,400,,,,,25.56,78,
113C,Hard ground,3,54,0,S,32,36,15,W,-32.6,-3.9,South of Fernando Noronha Island,41,Southwest Atlantic Ocean,,Brazil,9/3/1873,,525,,,,,25.56,78,
114,Hard ground,3,58,0,S,32,42,0,W,-32.7,-3.97,SW of Fernando Noronha Island,41,Southwest Atlantic Ocean,,Brazil,9/3/1873,,820,,,,,25.56,78,
115,Globigerina ooze,4,2,0,S,32,47,0,W,-32.78,-4.03,SW of Fernando Noronha Island,41,Southwest Atlantic Ocean,,Brazil,9/3/1873,,2150,,,,,25.56,78,
116,Globigerina ooze,5,1,0,S,33,50,0,W,-33.83,-5.02,"Off Cape Sao Roque, Brazil",41,Southwest Atlantic Ocean,,Brazil,9/4/1873,,2275,1.28,34.3,2275,1.02818,25.56,78,1.02362
117,Globigerina ooze,5,56,0,S,34,50,0,W,-34.83,-5.93,"Off Cape Sao Roque, Brazil",41,Southwest Atlantic Ocean,,Brazil,9/6/1873,,1375,,,,,25.56,78,
117A,Red mud,6,4,0,S,34,51,0,W,-34.85,-6.07,"Off Cape Sao Roque, Brazil",41,Southwest Atlantic Ocean,,Brazil,9/6/1873,,500,,,,,25.56,78,
118,Globigerina ooze,7,28,0,S,34,2,0,W,-34.03,-7.47,"Off Pernambuco, Brazil",41,Southwest Atlantic Ocean,,Brazil,9/8/1873,,2050,1.78,35.2,,,25.28,77.5,
119,Globigerina ooze,7,39,0,S,34,12,0,W,-34.2,-7.65,"Off Pernambuco, Brazil",41,Southwest Atlantic Ocean,,Brazil,9/8/1873,,1650,2.89,37.2,,,25.28,77.5,1.0248
120,Red mud,8,37,0,S,34,28,0,W,-34.47,-8.62,"Off Pernambuco, Brazil",41,Southwest Atlantic Ocean,,Brazil,9/9/1873,Trawl,675,,,,,25.56,78,
121,Red mud,8,28,0,S,34,31,0,W,-34.52,-8.47,"Off Pernambuco, Brazil",41,Southwest Atlantic Ocean,,Brazil,9/9/1873,Trawl,500,,,,,25.56,78,
122,Red clay,9,5,0,S,34,50,0,W,-34.83,-9.08,"Off Pernambuco, Brazil",41,Southwest Atlantic Ocean,,Brazil,9/10/1873,Trawl,350,,,,,25.28,77.5,
122A,Red clay,9,10,0,S,34,52,0,W,-34.87,-9.17,"Off Pernambuco, Brazil",41,Southwest Atlantic Ocean,,Brazil,9/10/1873,Trawl,120,,,,,25.28,77.5,
122B,Red sandy mud,9,9,0,S,34,53,0,W,-34.88,-9.15,"Off Pernambuco, Brazil",41,Southwest Atlantic Ocean,,Brazil,9/10/1873,Trawl,32,,,,,25.28,77.5,
122C,Red mud,9,10,0,S,34,49,0,W,-34.82,-9.17,"Off Pernambuco, Brazil",41,Southwest Atlantic Ocean,,Brazil,9/10/1873,Trawl,400,,,400,,25.28,77.5,1.0248
123,Globigerina ooze,10,9,0,S,35,11,0,W,-35.18,-10.15,"Off Pernambuco, Brazil",41,Southwest Atlantic Ocean,,Brazil,9/11/1873,,1715,2.78,37,,,25.28,77.5,
124,Globigerina ooze,10,11,0,S,35,22,0,W,-35.37,-10.18,"Off Pernambuco, Brazil",41,Southwest Atlantic Ocean,,Brazil,9/11/1873,Trawl,1600,,,1600,,25.28,77.5,
125,Red mud,10,46,0,S,36,2,0,W,-36.03,-10.77,"Off Pernambuco, Brazil",41,Southwest Atlantic Ocean,,Brazil,9/12/1873,,1200,,,1200,,25,77,1.02495
126,Red mud,10,46,0,S,36,8,0,W,-36.13,-10.77,"Off Pernambuco, Brazil",41,Southwest Atlantic Ocean,,Brazil,9/12/1873,Trawl,770,,,,,25,77,
126A,Red mud,10,45,0,S,36,9,0,W,-36.15,-10.75,"Off Pernambuco, Brazil",41,Southwest Atlantic Ocean,,Brazil,9/12/1873,Trawl,700,,,,,25,77,
127,Red mud,11,42,0,S,37,3,0,W,-37.05,-11.7,"Off Pernambuco, Brazil",41,Southwest Atlantic Ocean,,Brazil,9/13/1873,,1015,3.61,38.5,,,25,77,
128,Globigerina ooze,13,6,0,S,38,7,0,W,-38.12,-13.1,"Off Bahia, Brazil",41,Southwest Atlantic Ocean,,Brazil,9/14/1873,,1275,,,,,24.72,76.5,
129,Globigerina ooze,20,13,0,S,35,19,0,W,-35.32,-20.22,"Off Spirito Santo, Brazil",41,Southwest Atlantic Ocean,,Brazil,9/30/1873,Dredge,2150,1.22,34.2,,,23.33,74,1.02557
130,Globigerina ooze,26,15,0,S,32,56,0,W,-32.93,-26.25,Brazilian Basin,41,Southwest Atlantic Ocean,,Brazil,10/3/1873,Trawl,2350,1.5,34.7,2350,1.02928,20.56,69,1.02587
131,Globigerina ooze,29,35,0,S,28,9,0,W,-28.15,-29.58,Brazilian Basin,41,Southwest Atlantic Ocean,,Brazil,10/6/1873,Trawl,2275,1.44,34.6,,,18.33,65,1.02607
132,Globigerina ooze,35,25,0,S,23,40,0,W,-23.67,-35.42,Mid Atlantic Ridge,41,Southwest Atlantic Ocean,,,10/10/1873,,2050,1.67,35,2050,1.02796,14.44,58,1.02642
133,Globigerina ooze,35,41,0,S,20,55,0,W,-20.92,-35.68,Mid Atlantic Ridge,41,Southwest Atlantic Ocean,,,10/11/1873,Trawl,1900,1.89,35.4,1900,1.02792,14.44,58,1.0265
134,Globigerina ooze,36,12,0,S,12,16,0,W,-12.27,-36.2,North of Tristan da Cunha Island,47,Southeast Atlantic Ocean,,British Overseas Territory,10/14/1873,Dredge,2025,2.22,36,2025,1.02786,11.94,53.5,1.02679
135,Volcanic sand,37,1,50,S,12,19,10,W,-12.32,-37.03,Tristan da Cunha Island,47,Southeast Atlantic Ocean,,British Overseas Territory,10/15/1873,,360,,,,,11.94,53.5,
135A,"Hard ground, shells and gravel",37,16,50,S,12,45,15,W,-12.75,-37.28,Inaccessible Island (Tristan da Cunha Island),47,Southeast Atlantic Ocean,,British Overseas Territory,10/16/1873,Dredge,75,,,,,12.22,54,
135B,"Hard ground, shells and gravel",37,22,30,S,12,33,0,W,-12.55,-37.38,Nightingale Island (Tristan da Cunha Island),47,Southeast Atlantic Ocean,,British Overseas Territory,10/17/1873,,465,,,,,11.94,53.5,
135C,Coarse shells,37,25,30,S,12,28,30,W,-12.48,-37.43,Nightingale Island (Tristan da Cunha Island),47,Southeast Atlantic Ocean,,British Overseas Territory,10/17/1873,Dredge,110,,,,,12.22,54,
135D,Coarse shells,37,25,0,S,12,30,30,W,-12.51,-37.42,Nightingale Island (Tristan da Cunha Island),47,Southeast Atlantic Ocean,,British Overseas Territory,10/17/1873,Dredge,72,,,,,12.22,54,
135E,"Hard ground, shells and gravel",37,21,0,S,12,22,30,W,-12.38,-37.35,Tristan da Cunha Island,47,Southeast Atlantic Ocean,,British Overseas Territory,10/18/1873,Dredge,1000,,,,,11.94,53.5,
135F,Hard ground,37,14,45,S,12,20,15,W,-12.34,-37.25,Tristan da Cunha Island,47,Southeast Atlantic Ocean,,British Overseas Territory,10/18/1873,Dredge,1100,,,,,11.94,53.5,
135G,Hard ground,37,10,50,S,12,18,30,W,-12.31,-37.18,Tristan da Cunha Island,47,Southeast Atlantic Ocean,,British Overseas Territory,10/18/1873,Dredge,550,,,,,12.22,54,
136,,36,43,0,S,7,13,0,W,-7.22,-36.72,East of Tristan da Cunha Island,47,Southeast Atlantic Ocean,,British Overseas Territory,10/20/1873,Dredge,2100,1.78,35.2,2100,1.02798,12.22,54,1.02685
137,Globigerina ooze,35,59,0,S,1,34,0,E,1.57,-35.98,Cape Basin,47,Southeast Atlantic Ocean,,South Africa,10/23/1873,Dredge,2550,1.39,34.5,2550,1.02793,13.39,56.1,1.02681
138,Red clay,36,22,0,S,8,12,0,E,8.2,-36.37,Cape Basin,47,Southeast Atlantic Ocean,,South Africa,10/25/1873,,2560,1.72,35.1,2650,1.02786,13.44,56.2,1.02674
139,Globigerina ooze,35,35,0,S,16,9,0,E,16.15,-35.58,Off SW of Cape of Good Hope,47,Southeast Atlantic Ocean,,South Africa,10/27/1873,,2325,1.17,34.1,2325,1.02791,13.44,56.2,1.0266
140,Globigerina ooze,35,0,0,S,17,57,0,E,17.95,-35,Off SW of Cape of Good Hope,47,Southeast Atlantic Ocean,,South Africa,10/28/1873,,1250,,,,,15,59,
141,Green sand,34,41,0,S,18,36,0,E,18.6,-34.68,South of Cape of Good Hope,47,Southeast Atlantic Ocean,,South Africa,12/17/1873,Dredge,98,9.72,49.5,,,19.17,66.5,
142,Green sand,35,4,0,S,18,37,0,E,18.62,-35.07,South of Cape of Good Hope,47,Southeast Atlantic Ocean,,South Africa,12/18/1873,Dredge,150,8.33,47,150,1.02796,18.61,65.5,
143,Globigerina ooze,36,48,0,S,19,24,0,E,19.4,-36.8,South of Cape of Good Hope,47,Southeast Atlantic Ocean,,South Africa,12/19/1873,Dredge,1900,2,35.6,1900,1.02811,22.78,73,1.0247
144,Globigerina ooze,45,57,0,S,34,39,0,E,34.65,-45.95,West of Prince Edward Island,58,Antarctic Indian Ocean,,South Africa,12/24/1873,,1570,2.11,35.8,1570,1.02729,6.11,43,1.0268
144A,Volcanic sand,46,48,0,S,37,49,30,E,37.83,-46.8,North of Marion Island,58,Antarctic Indian Ocean,,South Africa,12/26/1873,Dredge,69,,,,,5,41,
145,Volcanic sand,46,43,0,S,38,4,30,E,38.08,-46.72,South-east of Prince Edward Island,58,Antarctic Indian Ocean,,South Africa,12/27/1873,Dredge,140,,,,,5,41,
145A,Volcanic sand,46,41,0,S,38,10,0,E,38.17,-46.68,South-east of Prince Edward Island,58,Antarctic Indian Ocean,,South Africa,12/27/1873,Dredge,310,,,,,5.28,41.5,1.0269
146,Globigerina ooze,46,46,0,S,45,31,0,E,45.52,-46.77,North-east of Prince Edward Island,58,Antarctic Indian Ocean,,South Africa,12/29/1873,Trawl,1375,2,35.6,1375,1.02759,6.11,43,1.02675
147,Diatom ooze,46,16,0,S,48,27,0,E,48.45,-46.27,West of Crozet Island,58,Antarctic Indian Ocean,,French Southern and Antarctic Lands,12/30/1873,Trawl,1600,1.22,34.2,1600,1.02759,5,41,1.02692
147A,Diatom ooze,46,45,0,S,50,42,0,E,50.7,-46.75,Crozet Island,58,Antarctic Indian Ocean,,French Southern and Antarctic Lands,1/1/1874,,600,,,,,5.56,42,
148,Hard ground,46,47,0,S,51,37,0,E,51.62,-46.78,Crozet Island,58,Antarctic Indian Ocean,,French Southern and Antarctic Lands,1/3/1874,Dredge,210,,,,,5,41,
148A,"Hard ground, shells and gravel",46,53,0,S,51,52,0,E,51.87,-46.88,Crozet Island,58,Antarctic Indian Ocean,,French Southern and Antarctic Lands,1/3/1874,Dredge,550,,,,,5,41,1.02683
149,Green mud,49,8,0,S,70,12,0,E,70.2,-49.13,Kerguelen Island,58,Antarctic Indian Ocean,,French Southern and Antarctic Lands,1/9/1874,Dredge,20,,,,,,,
149A,Green mud,49,8,0,S,70,9,0,E,70.15,-49.13,Kerguelen Island,58,Antarctic Indian Ocean,,French Southern and Antarctic Lands,1/14/1874,Dredge,40,,,,,,,
149B,Green mud,49,28,0,S,70,30,0,E,70.5,-49.47,Kerguelen Island,58,Antarctic Indian Ocean,,French Southern and Antarctic Lands,1/17/1874,Dredge,25,,,,,4.72,40.5,
149C,Green mud,49,32,0,S,70,0,0,E,70,-49.53,Kerguelen Island,58,Antarctic Indian Ocean,,French Southern and Antarctic Lands,1/19/1874,Dredge,60,,,,,,,
149D,Green mud,49,28,0,S,70,13,0,E,70.22,-49.47,Kerguelen Island,58,Antarctic Indian Ocean,,French Southern and Antarctic Lands,1/20/1874,Dredge,28,,,,,5,41,
149E,Green mud,49,37,0,S,70,16,0,E,70.27,-49.62,Kerguelen Island,58,Antarctic Indian Ocean,,French Southern and Antarctic Lands,1/21/1874,Dredge,30,,,,,-17.78,0,
149F,Green mud,48,55,0,S,69,31,0,E,69.52,-48.92,Kerguelen Island,58,Antarctic Indian Ocean,,French Southern and Antarctic Lands,1/27/1874,Dredge,95,,,,,5.39,41.7,
149G,Green mud,48,50,0,S,69,18,0,E,69.3,-48.83,Kerguelen Island,58,Antarctic Indian Ocean,,French Southern and Antarctic Lands,1/29/1874,Dredge,110,,,,,4.56,40.2,
149H,Green mud,48,45,0,S,69,14,0,E,69.23,-48.75,Kerguelen Island,58,Antarctic Indian Ocean,,French Southern and Antarctic Lands,1/29/1874,Dredge,127,,,,,4.33,39.8,
149J,Green mud,48,43,0,S,69,15,0,E,69.25,-48.72,Kerguelen Island,58,Antarctic Indian Ocean,,French Southern and Antarctic Lands,1/29/1874,Dredge,105,,,,,3.89,39,
149K,Green mud,48,40,0,S,69,6,0,E,69.1,-48.67,Kerguelen Island,58,Antarctic Indian Ocean,,French Southern and Antarctic Lands,1/29/1874,Dredge,45,,,,,3.89,39,
150,Coarse gravel,52,4,0,S,71,22,0,E,71.37,-52.07,South of Kerguelen Island,58,Antarctic Indian Ocean,,French Southern and Antarctic Lands,2/2/1874,Dredge,150,1.78,35.2,,,3.06,37.5,
151,Volcanic mud,52,59,30,S,73,33,30,E,73.56,-52.99,Heard Island,58,Antarctic Indian Ocean,,Australian Territory,2/7/1874,Dredge,75,,,,,2.33,36.2,
152,Diatom ooze,60,52,0,S,80,20,0,E,80.33,-60.87,"Off Prince Elizabeth Land, Antarctica",58,Antarctic Indian Ocean,,Antarctica,2/11/1874,Trawl,1260,,,1260,,1.39,34.5,1.02721
153,Blue mud,65,42,0,S,79,49,0,E,79.82,-65.7,"Off Prince Elizabeth Land, Antarctica",58,Antarctic Indian Ocean,,Antarctica,2/14/1874,Dredge,1675,,,1675,,-1.39,29.5,1.02632
154,Blue mud,64,37,0,S,85,49,0,E,85.82,-64.62,"Off Prince Elizabeth Land, Antarctica",58,Antarctic Indian Ocean,,Antarctica,2/19/1874,,1800,,,1800,,0,32,
155,Blue mud,64,18,0,S,94,47,0,E,94.78,-64.3,"Off Queen Mary Land, Antarctica",58,Antarctic Indian Ocean,,Antarctica,2/23/1874,Dredge,1300,,,,,-0.56,31,
