Station,Sediment_sample,Latitude_Degrees,Latitude_Minutes,Latitude_Seconds,North_South,Longitude_Degrees,Longitude_Minutes,Longitude_Seconds,East_West,Decimal_Longitude,Decimal_Latitude,Location,FAOarea,Water_body,Sea_Area,Place,Date,Gear,Depth_(fathoms),Bottom_water_temperature_(C)_,Bottom_temp_(F),Bottom_water_depth_D_(fathoms),Specific_Gravity_at_bottom,Surface_temp_(C),Surface_temp_(F),Specific_Gravity_at_surface
156,Diatom ooze,62,26,0,S,95,44,0,E,95.73,-62.43,"Off Queen Mary Land, Antarctica",58,Antarctic Indian Ocean,,Antarctica,2/26/1874,Trawl,1975,,,1975,,0.56,33,1.02721
157,Diatom ooze,53,55,0,S,108,35,0,E,108.58,-53.92,Indian Antarctic Ridge,57,Eastern Indian Ocean,,,3/3/1874,Trawl,1950,0.06,32.1,1950,1.02776,2.89,37.2,1.02708
158,Globigerina ooze,50,1,0,S,123,4,0,E,123.07,-50.02,Indian Antarctic Ridge,57,Eastern Indian Ocean,,,3/7/1874,Trawl,1800,0.83,33.5,1800,1.02776,7.22,45,1.02672
159,Globigerina ooze,47,25,0,S,130,22,0,E,130.37,-47.42,Indian Antarctic Ridge,57,Eastern Indian Ocean,,,3/10/1874,Trawl,2150,1.39,34.5,2150,1.02773,10.83,51.5,1.02665
160,Red clay,42,42,0,S,134,10,0,E,134.17,-42.7,South Australian Basin,57,Eastern Indian Ocean,,Australia,3/13/1874,Trawl,2600,1.06,33.9,2600,1.0278,12.78,55,1.02627
161,Shelly sand,38,22,30,S,144,36,30,E,144.61,-38.38,"Entrance of Port Phillip Bay, Australia",57,Eastern Indian Ocean,,Australia,4/1/1874,Trawl,33,,,,,17.5,63.5,
162,Shelly sand,39,10,30,S,146,37,0,E,146.62,-39.18,"Off Port Jackson, South Australia",57,Southwest Pacific Ocean,Tasman Sea,Australia,4/2/1874,Dredge,38,,,,,17.33,63.2,
163,Globigerina ooze,36,57,0,S,150,34,0,E,150.57,-36.95,"NE of Cape Howe, Australia",81,Southwest Pacific Ocean,Tasman Sea,Australia,4/2/1874,,2200,1.39,34.5,2200,1.02809,22.22,72,1.02481
163A,Green mud?,36,59,0,S,150,20,0,E,150.33,-36.98,"NE of Cape Howe, Australia",81,Southwest Pacific Ocean,Tasman Sea,Australia,4/4/1874,Dredge,150,,,,,21.67,71,
163B,,33,51,15,S,151,22,15,E,151.37,-33.85,"Off Sydney, Australia",81,Southwest Pacific Ocean,Tasman Sea,Australia,6/3/1874,Dredge,35,17.22,63,,,20.56,69,
163C,Hard ground,33,55,0,S,151,35,0,E,151.58,-33.92,"Off Sydney, Australia",81,Southwest Pacific Ocean,Tasman Sea,Australia,6/12/1874,,85,16.94,62.5,,,19.72,67.5,1.02541
163D,Green sand,33,57,30,S,151,39,15,E,151.65,-33.96,"Off Sydney, Australia",81,Southwest Pacific Ocean,Tasman Sea,Australia,6/12/1874,,120,,,,,20,68,
163E,Green sand,34,0,15,S,151,44,15,E,151.74,-34,"Off Sydney, Australia",81,Southwest Pacific Ocean,Tasman Sea,Australia,6/12/1874,,290,,,,,21.22,70.2,
163F,Green mud,34,3,15,S,151,51,30,E,151.86,-34.05,"Off Sydney, Australia",81,Southwest Pacific Ocean,Tasman Sea,Australia,6/12/1874,,650,4.89,40.8,,,21.22,70.2,
164,Green mud,34,8,0,S,152,0,0,E,152,-34.13,"Off Sydney, Australia",81,Southwest Pacific Ocean,Tasman Sea,Australia,6/12/1874,,950,2.5,36.5,,,20.83,69.5,1.02518
164A,Green mud,34,9,0,S,151,55,0,E,151.92,-34.15,"Off Sydney, Australia",81,Southwest Pacific Ocean,Tasman Sea,Australia,6/13/1874,,1200,,,,,21.22,70.2,
164B,Green mud,34,13,0,S,151,38,0,E,151.63,-34.22,"Off Sydney, Australia",81,Southwest Pacific Ocean,Tasman Sea,Australia,6/13/1874,Trawl,410,,,,,20.56,69,1.02512
164C,Green mud,34,19,0,S,151,31,0,E,151.52,-34.32,"Off Sydney, Australia",81,Southwest Pacific Ocean,Tasman Sea,Australia,6/13/1874,Dredge,400,4.44,40,,,19.44,67,
164D,,34,3,0,S,152,20,0,E,152.33,-34.05,"Off Sydney, Australia",81,Southwest Pacific Ocean,Tasman Sea,Australia,6/14/1874,,2100,,,,,19.72,67.5,
164E,,34,27,0,S,154,57,0,E,154.95,-34.45,"Off Sydney, Australia",81,Southwest Pacific Ocean,Tasman Sea,Australia,6/16/1874,,2550,,,,,17.78,64,1.026
165,Red clay,34,50,0,S,155,28,0,E,155.47,-34.83,"Off Sydney, Australia",81,Southwest Pacific Ocean,Tasman Sea,Australia,6/17/1874,Dredge,2600,1.39,34.5,2600,1.02801,18.06,64.5,1.02579
165A,Red clay,36,41,0,S,158,29,0,E,158.48,-36.68,"Off Sydney, Australia",81,Southwest Pacific Ocean,Tasman Sea,Australia,6/19/1874,,2600,1.33,34.4,,,16.94,62.5,
165B,Globigerina ooze,37,53,0,S,163,18,0,E,163.3,-37.88,Tasman Sea,81,Southwest Pacific Ocean,Tasman Sea,,6/21/1874,,1975,1.5,34.7,1965,1.02832,15.28,59.5,
165C,Globigerina ooze,38,36,0,S,166,39,0,E,166.65,-38.6,Tasman Sea,81,Southwest Pacific Ocean,Tasman Sea,,6/22/1874,,1100,2.44,36.4,1100,1.02795,14.56,58.2,
166,Globigerina ooze,38,50,0,S,169,20,0,E,169.33,-38.83,"Off Cape Farewell, west of New Zealand",81,Southwest Pacific Ocean,Tasman Sea,New Zealand,6/23/1874,Trawl,275,10.44,50.8,275,1.02772,14.72,58.5,1.02644
166A,,38,57,0,S,170,10,45,E,170.18,-38.95,"Off Cape Farewell, west of New Zealand",81,Southwest Pacific Ocean,Tasman Sea,New Zealand,6/23/1874,,350,,,,,14.72,58.5,
166B,Globigerina ooze,39,8,0,S,170,43,0,E,170.72,-39.13,"Off Cape Farewell, west of New Zealand",81,Southwest Pacific Ocean,Tasman Sea,New Zealand,6/23/1874,,400,,,,,14.72,58.5,
166C,Globigerina ooze,39,21,0,S,171,28,0,E,171.47,-39.35,"Off Cape Farewell, west of New Zealand",81,Southwest Pacific Ocean,Tasman Sea,New Zealand,6/24/1874,,400,,,,,14.44,58,
167,Blue mud,39,32,0,S,171,48,0,E,171.8,-39.53,"Off entrance of Cook Strait, New Zealand",81,Southwest Pacific Ocean,Tasman Sea,New Zealand,6/24/1874,Trawl,150,,,,,14.72,58.5,
167A,Mud,41,4,0,S,174,19,0,E,174.32,-41.07,"Port Hardy, New Zealand",81,Southwest Pacific Ocean,Tasman Sea,New Zealand,6/27/1874,Dredge,10,,,,,10.83,51.5,
168,Blue mud,40,28,0,S,177,43,0,E,177.72,-40.47,"East of North Island, New Zealand",81,Southwest Pacific Ocean,,New Zealand,7/8/1874,Trawl,1100,2.89,37.2,1100,1.02781,14,57.2,1.02654
169,Blue mud,37,34,0,S,179,22,0,E,179.37,-37.57,"East Cape, New Zealand",81,Southwest Pacific Ocean,,New Zealand,7/10/1874,Trawl,700,4.44,40,700,1.02777,14.56,58.2,
170,Volcanic mud,29,55,0,S,178,14,0,W,-178.23,-29.92,North of Kermadec Island,81,Southwest Pacific Ocean,,New Zealand,7/14/1874,Trawl,520,6.11,43,,,18.33,65,
170A,Volcanic mud,29,45,0,S,178,11,0,W,-178.18,-29.75,North of Kermadec Island,81,Southwest Pacific Ocean,,New Zealand,7/14/1874,Trawl,630,4.17,39.5,,1.02841,18.44,65.2,1.02576
171,Volcanic mud,28,33,0,S,177,50,0,W,-177.83,-28.55,North of Kermadec Island,81,Southwest Pacific Ocean,,New Zealand,7/15/1874,Trawl,600,4.17,39.5,,,19.17,66.5,
171A,Red clay,25,5,0,S,172,56,0,W,-172.93,-25.08,North of Kermadec Island,81,Southwest Pacific Ocean,,New Zealand,7/17/1874,,2900,1.28,34.3,2900,,22.22,72,1.02472
172,Coral sand,20,58,0,S,175,9,0,W,-175.15,-20.97,"Tongatapu Island, Tonga Island",71,Western Central Pacific Ocean,,Tonga,7/22/1874,Dredge,18,,,,,23.89,75,
172A,Coral sand,20,56,0,S,175,11,0,W,-175.18,-20.93,"Tongatapu Island, Tonga Island",71,Western Central Pacific Ocean,,Tonga,7/22/1874,Dredge,240,,,,,23.89,75,
173,Coral mud,19,9,35,S,179,41,50,E,179.7,-19.16,"Matuku Island, Fiji Island",71,Western Central Pacific Ocean,,Fiji,7/24/1874,Dredge,315,,,,,24.44,76,
173A,Coral mud,19,9,32,S,179,41,55,E,179.7,-19.16,"Matuku Island, Fiji Island",71,Western Central Pacific Ocean,,Fiji,7/24/1874,Trawl,310,,,,,25,77,
174,Coral mud,19,6,0,S,178,14,20,E,178.24,-19.1,"Ngaloa Harbour, Kandavu Island, Fiji",71,Western Central Pacific Ocean,,Fiji,8/3/1874,,140,,,,,25,77,
174A,Coral mud,19,6,32,S,178,16,20,E,178.27,-19.11,"Ngaloa Harbour, Kandavu Island, Fiji",71,Western Central Pacific Ocean,,Fiji,8/3/1874,,160,,,,,25,77,
174B,Coral mud,19,6,45,S,178,17,0,E,178.28,-19.11,"Ngaloa Harbour, Kandavu Island, Fiji",71,Western Central Pacific Ocean,,Fiji,8/3/1874,Trawl,255,,,,,25.39,77.7,
174C,Globigerina ooze,19,7,50,S,178,19,35,E,178.33,-19.13,"Ngaloa Harbour, Kandavu Island, Fiji",71,Western Central Pacific Ocean,,Fiji,8/3/1874,Trawl,610,3.89,39,,,25.56,78,
174D,Coral mud,19,5,50,S,178,16,20,E,178.27,-19.1,"Ngaloa Harbour, Kandavu Island, Fiji",71,Western Central Pacific Ocean,,Fiji,8/3/1874,Dredge,210,,,,,25.39,77.7,
175,Globigerina ooze,19,2,0,S,177,10,0,E,177.17,-19.03,"South of Viti Levu I., Fiji",71,Western Central Pacific Ocean,,Fiji,8/12/1874,Trawl,1350,2.22,36,1350,1.02842,25.28,77.5,1.02387
176,Globigerina ooze,18,30,0,S,175,52,0,E,175.87,-18.5,"South-west of Viti Levu I., Fiji",71,Western Central Pacific Ocean,,Fiji,8/15/1874,,1450,2.33,36.2,1450,1.02829,25.28,77.5,1.02376
177,Volcanic sand,16,45,0,S,168,7,0,E,168.12,-16.75,"Api I., New Hebrides Island",71,Western Central Pacific Ocean,Coral Sea,Vanuatu,8/18/1874,Dredge,130,,,,,25.94,78.7,
178,Red clay,16,47,0,S,165,20,0,E,165.33,-16.78,West of New Hebrides Island,71,Western Central Pacific Ocean,Coral Sea,Vanuatu,8/19/1874,,2650,2.11,35.8,,,26.11,79,
179,Globigerina ooze,15,58,0,S,160,48,0,E,160.8,-15.97,New Hebrides Basin,71,Western Central Pacific Ocean,Coral Sea,Vanuatu,8/21/1874,,2325,2.22,36,2325,1.02797,26.11,79,
180,Red clay,14,7,0,S,153,43,0,E,153.72,-14.12,Northeast of Australia,71,Western Central Pacific Ocean,Coral Sea,Australia,8/24/1874,,2450,2.22,36,2450,1.02804,26.67,80,
181,Red clay,13,50,0,S,151,49,0,E,151.82,-13.83,Northeast of Australia,71,Western Central Pacific Ocean,Coral Sea,Australia,8/25/1874,Trawl,2440,2.11,35.8,2440,1.02795,26.67,80,1.02348
182,Globigerina ooze,13,6,0,S,148,37,0,E,148.62,-13.1,"East of Cape York Peninsula, Australia",71,Western Central Pacific Ocean,Coral Sea,Australia,8/27/1874,,2275,2.11,35.8,2275,1.02788,25.83,78.5,1.02344
183,Globigerina ooze,12,42,0,S,146,46,0,E,146.77,-12.7,"East of Cape York Peninsula, Australia",71,Western Central Pacific Ocean,Coral Sea,Australia,8/28/1874,,1700,2.22,36,1700,1.02798,25.56,78,1.02364
184,Globigerina ooze,12,8,0,S,145,10,0,E,145.17,-12.13,"75 miles east-southeast of Raine I., Queensland, Australia",71,Western Central Pacific Ocean,Coral Sea,Australia,8/29/1874,Trawl,1400,2.22,36,1400,1.02816,25.28,77.5,1.02373
185,Coral sand,11,35,25,S,144,2,0,E,144.03,-11.59,"East of Cape York Peninsula, Australia",71,Western Central Pacific Ocean,Coral Sea,Australia,8/31/1874,Dredge,135,,,,,25,77,
185A,Coral sand,11,36,20,S,144,1,50,E,144.03,-11.61,"East of Cape York Peninsula, Australia",71,Western Central Pacific Ocean,Coral Sea,Australia,8/31/1874,Dredge,150,,,,,25,77,
185B,Coral sand,11,38,15,S,143,59,38,E,143.99,-11.64,"East of Cape York Peninsula, Australia",71,Western Central Pacific Ocean,Coral Sea,Australia,8/31/1874,Dredge,155,,,,,25,77,
186,Sand and shells,10,30,0,S,142,18,0,E,142.3,-10.5,"North of Cape York,Torres Strait, Australia",71,Western Central Pacific Ocean,Coral Sea,Australia,9/8/1874,Dredge,8,,,,,25.11,77.2,
187,Sand and shells,10,36,0,S,141,55,0,E,141.92,-10.6,"North of Cape York,Torres Strait, Australia",71,Western Central Pacific Ocean,Coral Sea,Australia,9/9/1874,Dredge,6,,,,,25.39,77.7,1.02428
188,Sand and shells,9,59,0,S,139,42,0,E,139.7,-9.98,South of New Guinea,71,Western Central Pacific Ocean,Arafura Sea,Papua New Guinea,9/10/1874,Dredge & Trawl,28,,,,,25.83,78.5,1.02327
189,Green mud,9,36,0,S,137,50,0,E,137.83,-9.6,South of New Guinea,71,Western Central Pacific Ocean,Arafura Sea,Papua New Guinea,9/11/1874,Trawl,25,,,25,,26.11,79,1.02269
190,Green mud,8,56,0,S,136,5,0,E,136.08,-8.93,South of New Guinea,71,Western Central Pacific Ocean,Arafura Sea,Papua New Guinea,9/12/1874,Trawl,49,,,,,26.22,79.2,
191,Green mud,5,41,0,S,134,4,30,E,134.08,-5.68,Aru Island,71,Western Central Pacific Ocean,Arafura Sea,Indonesia,9/23/1874,Trawl,800,4.17,39.5,,,27.89,82.2,1.02158
191A,Green mud,5,26,0,S,133,19,0,E,133.32,-5.43,East of Kai Island,71,Western Central Pacific Ocean,Arafura Sea,Indonesia,9/24/1874,,580,4.83,40.7,580,1.0276,27.5,81.5,1.02255
192,Blue mud,5,49,15,S,132,14,15,E,132.24,-5.82,West of Kai Island,71,Western Central Pacific Ocean,Banda Sea,Indonesia,9/26/1874,Trawl,140,,,,,27.78,82,1.02252
193,Volcanic mud,5,24,0,S,130,37,15,E,130.62,-5.4,Off north-west of Kai Island,71,Western Central Pacific Ocean,Banda Sea,Indonesia,9/28/1874,,2800,3.33,38,2800,1.02752,28.61,83.5,
194,Volcanic mud,4,34,0,S,129,57,30,E,129.96,-4.57,Banda Island,71,Western Central Pacific Ocean,Banda Sea,Indonesia,9/29/1874,Dredge,200,,,,,28.33,83,
194A,Volcanic mud,4,31,0,S,129,57,20,E,129.96,-4.52,Banda Island,71,Western Central Pacific Ocean,Banda Sea,Indonesia,9/29/1874,Trawl,360,,,,,28.06,82.5,
195,Blue mud,4,21,0,S,129,7,0,E,129.12,-4.35,South of Ceram Island,71,Western Central Pacific Ocean,Banda Sea,Indonesia,10/3/1874,Trawl,1425,3.33,38,1425,1.02762,27.78,82,1.0227
196,Hard ground,0,48,30,S,126,58,30,E,126.98,-0.81,"South of Halmahera I., Moluccas",71,Western Central Pacific Ocean,Molucca Sea,Indonesia,10/13/1874,Trawl,825,2.72,36.9,825,1.02783,28.33,83,1.02209
197,Blue mud,0,41,0,N,126,37,0,E,126.62,0.68,"West of Halmahera I., Moluccas",71,Western Central Pacific Ocean,Molucca Sea,Indonesia,10/14/1874,,1200,2.17,35.9,1200,1.02796,28.06,82.5,1.02183
198,Volcanic mud,2,55,0,N,124,53,0,E,124.88,2.92,North of Celebes Island,71,Western Central Pacific Ocean,Celebes Sea,Indonesia,10/20/1874,Trawl,2150,3.33,38,2150,1.02775,29.44,85,1.02167
199,Volcanic mud,5,44,0,N,123,34,0,E,123.57,5.73,South of Mindanao Island,71,Western Central Pacific Ocean,Celebes Sea,Philippines,10/22/1874,,2600,3.33,38,2600,1.02725,28.33,83,1.02196
200,Green mud,6,47,0,N,122,28,0,E,122.47,6.78,"Moro Gulf, Mindanao I., Philippine Island",71,Western Central Pacific Ocean,Celebes Sea,Philippines,10/23/1874,Trawl,250,,,,,29.72,85.5,
201,Stones and gravel,7,3,0,N,121,48,0,E,121.8,7.05,"West of Samboangan Peninsula, Mindano I., Philippine Island",71,Western Central Pacific Ocean,Celebes Sea,Philippines,10/26/1874,Trawl,82,,,,,28.33,83,1.02167
202,Blue mud,8,32,0,N,121,55,0,E,121.92,8.53,"North-west of Samboangan Peninsula, Mindano I., Philippine Island",71,Western Central Pacific Ocean,Celebes Sea,Philippines,10/27/1874,,2550,10.28,50.5,2550,1.02659,28.33,83,1.02145
203,Mud,11,6,0,N,123,9,0,E,123.15,11.1,"West of Panay Island, Philippine Islands",71,Western Central Pacific Ocean,Visayan Sea,Philippines,10/31/1874,Trawl,20,,,,,29.44,85,
204,Blue mud,12,28,0,N,122,15,0,E,122.25,12.47,"West of Tablas Island, Philippine Island",71,Western Central Pacific Ocean,Sibuyan Sea,Philippines,11/2/1874,,705,,,,,28.89,84,1.02148
204A,Green mud,12,43,0,N,122,9,0,E,122.15,12.72,"North-west of Tablas Island, Philippine Island",71,Western Central Pacific Ocean,Sibuyan Sea,Philippines,11/2/1874,Trawl,100,,,100,,28.89,84,
204B,Green mud,12,46,0,N,122,10,0,E,122.17,12.77,"North-west of Tablas Island, Philippine Island",71,Western Central Pacific Ocean,Sibuyan Sea,Philippines,11/2/1874,Trawl,115,,,,,28.89,84,1.02151
205,Blue mud,16,42,0,N,119,22,0,E,119.37,16.7,"West of Luzon Island, Philippine Island",71,Western Central Pacific Ocean,South China Sea,Philippines,11/13/1874,Trawl,1050,2.78,37,1050,1.02772,27.78,82,1.0217
206,Blue mud,17,54,0,N,117,14,0,E,117.23,17.9,"Off west of Luzon Island, Philippine Island",71,Western Central Pacific Ocean,South China Sea,Philippines,1/8/1875,Trawl,2100,2.5,36.5,2100,1.02768,24,75.2,1.02319
207,Blue mud,12,21,0,N,122,15,0,E,122.25,12.35,"West of Tablas Island, Philippine Island",71,Western Central Pacific Ocean,Sibuyan Sea,Philippines,1/16/1875,Trawl,700,10.89,51.6,700,1.0265,26.67,80,1.02214
208,Blue mud,11,37,0,N,123,31,0,E,123.52,11.62,"West of Panay Island, Philippine Island",71,Western Central Pacific Ocean,Visayan Sea,Philippines,1/17/1875,Trawl,18,,,,,27.22,81,
209,Blue mud,10,14,0,N,123,54,0,E,123.9,10.23,"West of Cebu Island, Philippine Island",71,Western Central Pacific Ocean,Camotes Sea,Philippines,1/22/1875,Dredge & Trawl,95,21.67,71,,,27.22,81,
210,Green mud,9,26,0,N,123,45,0,E,123.75,9.43,"North of Mindanao Island, Philippine Island",71,Western Central Pacific Ocean,Mindanao Sea,Philippines,1/25/1875,Dredge & Trawl,375,12.28,54.1,,,26.78,80.2,
210A,Blue mud,9,15,0,N,124,38,0,E,124.63,9.25,"North of Mindanao Island, Philippine Island",71,Western Central Pacific Ocean,Mindanao Sea,Philippines,1/26/1875,,185,13.94,57.1,,,27.06,80.7,
211,Blue mud,8,0,0,N,121,42,0,E,121.7,8,"West of Samboangan Peninsula, Mindano I., Philippine Island",71,Western Central Pacific Ocean,Celebes Sea,Philippines,1/28/1875,,2225,10.28,50.5,2225,1.0265,27.22,81,
212,Sand and shells,6,54,0,N,122,18,0,E,122.3,6.9,"Moro Gulf, Mindanao I., Philippine Island",71,Western Central Pacific Ocean,Celebes Sea,Philippines,1/30/1875,Dredge & Trawl,10,,,,,28.33,83,
213,Blue mud,5,47,0,N,124,1,0,E,124.02,5.78,"South of Mindanao Island, Philippine Island",71,Western Central Pacific Ocean,Celebes Sea,Philippines,2/8/1875,Trawl,2050,3.78,38.8,2050,1.02757,28.33,83,
214,Blue mud,4,33,0,N,127,6,0,E,127.1,4.55,"Kepulauan Talaud Island, Indonesia",71,Western Central Pacific Ocean,,Indonesia,2/10/1875,Dredge,500,5.44,41.8,500,1.02735,26.94,80.5,1.02246
215,Red clay,4,19,0,N,130,15,0,E,130.25,4.32,East of Molucca Passage,71,Western Central Pacific Ocean,,Papua New Guinea,2/12/1875,Trawl,2550,1.89,35.4,2550,1.02764,27.67,81.8,1.02264
216,Globigerina ooze,2,46,0,N,133,58,0,E,133.97,2.77,North of New Guinea,71,Western Central Pacific Ocean,,Papua New Guinea,2/16/1875,,1675,1.89,35.4,1675,1.0279,28.22,82.8,
216A,Globigerina ooze,2,56,0,N,134,11,0,E,134.18,2.93,North of New Guinea,71,Western Central Pacific Ocean,,Papua New Guinea,2/16/1875,Trawl,2000,1.89,35.4,2000,1.02772,28.22,82.8,1.02224
217,Blue mud,0,39,0,S,138,55,0,E,138.92,-0.65,North of New Guinea,71,Western Central Pacific Ocean,,Papua New Guinea,2/22/1875,,2000,1.78,35.2,2000,1.02801,28.33,83,1.02169
218,Blue mud,2,33,0,S,144,4,0,E,144.07,-2.55,West of Admiralty Islands,71,Western Central Pacific Ocean,Bismarck Sea,Papua New Guinea,3/1/1875,Trawl,1070,2.44,36.4,1070,1.02773,28.89,84,
219,Coral sand,1,54,0,S,146,39,40,E,146.66,-1.9,"Nares Harbour, Admiralty Island",71,Western Central Pacific Ocean,,Papua New Guinea,3/10/1875,Trawl,150,,,,,28.89,84,1.02203
220,Globigerina ooze,0,42,0,S,147,0,0,E,147,-0.7,Off north of Admiralty Island,71,Western Central Pacific Ocean,,Papua New Guinea,3/11/1875,Trawl,1100,2.33,36.2,1100,1.02762,28.78,83.8,1.0258
221,Red clay,0,40,0,N,148,41,0,E,148.68,0.67,Off north of Admiralty Island,71,Western Central Pacific Ocean,,Papua New Guinea,3/13/1875,,2650,1.89,35.4,,,28.78,83.8,
222,Red clay,2,15,0,N,146,16,0,E,146.27,2.25,Between Bismarck Archipelago and Caroline Islands,71,Western Central Pacific Ocean,,,3/16/1875,,2450,1.78,35.2,2450,1.02766,28.22,82.8,
223,Globigerina ooze,5,31,0,N,144,20,0,E,144.33,5.52,Between Bismarck Archipelago and Caroline Islands,71,Western Central Pacific Ocean,,,3/19/1875,Trawl,1850,1.94,35.5,2325,1.02783,27.78,82,1.02263
224,Globigerina ooze,7,45,0,N,144,20,0,E,144.33,7.75,Caroline Islands,71,Western Central Pacific Ocean,,Caroline Islands,3/21/1875,Dredge,1850,1.89,35.4,1850,1.02772,27.33,81.2,1.02266
225,Radiolarian ooze,11,24,0,N,143,16,0,E,143.27,11.4,Between Caroline Islands and Marianas Islands,71,Western Central Pacific Ocean,,,3/23/1875,,4475,1.78,35.2,4475,1.02785,26.78,80.2,1.02266
226,Red clay,14,44,0,N,142,13,0,E,142.22,14.73,West of Marianas Islands,71,Western Central Pacific Ocean,,Marianas Islands,3/25/1875,Trawl,2300,1.94,35.5,,,26.11,79,1.02314
227,Red clay,17,29,0,N,141,21,0,E,141.35,17.48,West of Marianas Islands,71,Western Central Pacific Ocean,,Marianas Islands,3/27/1875,,2475,1.78,35.2,,,26.22,79.2,
228,Red clay,19,24,0,N,141,13,0,E,141.22,19.4,West of Marianas Islands,71,Western Central Pacific Ocean,,Marianas Islands,3/29/1875,,2450,1.94,35.5,,,26.78,80.2,1.02281
229,Red clay,22,1,0,N,140,27,0,E,140.45,22.02,North-west of Marianas Islands,61,Northwest Pacific Ocean,,Marianas Islands,4/1/1875,Trawl,2500,1.94,35.5,,,25.83,78.5,1.02341
230,Red clay,26,29,0,N,137,57,0,E,137.95,26.48,Off west of Bonin Isands,61,Northwest Pacific Ocean,,Japan,4/5/1875,Trawl,2425,1.94,35.5,,,20.28,68.5,1.02489
231,Blue mud,31,8,0,N,137,8,0,E,137.13,31.13,South of Japan,61,Northwest Pacific Ocean,,Japan,4/9/1875,,2250,1.78,35.2,2250,1.02785,17.78,64,1.62488
232,Green mud,35,11,0,N,139,28,0,E,139.47,35.18,"Sagami-wan (bay), Japan",61,Northwest Pacific Ocean,,Japan,5/12/1875,Dredge & Trawl,345,5.06,41.1,,,17.89,64.2,1.02485
233,Blue mud,34,39,0,N,135,14,0,E,135.23,34.65,"Isumi-nada (gulf), Japan",61,Northwest Pacific Ocean,,Japan,5/17/1875,Dredge,8,,,,,16.83,62.3,
233A,Sand,34,38,0,N,135,1,0,E,135.02,34.63,"Isumi-nada (gulf), Japan",61,Northwest Pacific Ocean,,Japan,5/19/1875,Dredge,50,,,,,17,62.6,
233B,Blue mud,34,18,0,N,133,35,0,E,133.58,34.3,"Bingo-nada (gulf), Japan",61,Northwest Pacific Ocean,,Japan,5/26/1875,Trawl,15,,,,,19.06,66.3,1.02279
233C,Blue mud,34,18,0,N,133,21,0,E,133.35,34.3,"Bingo-nada (gulf), Japan",61,Northwest Pacific Ocean,,Japan,5/28/1875,Trawl,12,15.5,59.9,,,19.33,66.8,
234,Blue mud,32,31,0,N,135,39,0,E,135.65,32.52,"Off Osaka, South of Japan",61,Northwest Pacific Ocean,,Japan,6/3/1875,,2675,2.11,35.8,,,20.83,69.5,1.0241
235,Green mud,34,7,0,N,138,0,0,E,138,34.12,"Off Nagoya, South of Japan",61,Northwest Pacific Ocean,,Japan,6/4/1875,Trawl,565,3.39,38.1,565,1.02753,22.78,73,
236,Green mud,34,58,0,N,139,29,0,E,139.48,34.97,"Sagami-nada (gulf), Japan",61,Northwest Pacific Ocean,,Japan,6/5/1875,Trawl,775,3.11,37.6,775,1.02742,19.17,66.5,1.02472
236A,Green mud,34,59,0,N,139,31,0,E,139.52,34.98,"Sagami-nada (gulf), Japan",61,Northwest Pacific Ocean,,Japan,6/5/1875,Trawl,420,3.11,37.6,775,,19.17,66.5,
237,Blue mud,34,37,0,N,140,32,0,E,140.53,34.62,"Off Tokyo, South of Japan",61,Northwest Pacific Ocean,,Japan,6/17/1875,Trawl,1875,1.83,35.3,1875,1.02761,22.78,73,1.02385
